variable,definition
CaseID,Case ID CaseID is preserved across years for reinterviewed respondents and can serve as the unique identifier for merging 
weight1b,Population weights: ReInterview respondents 
weight2b,Population weights: ReInterview/Fresh respondents 
weight3b,Population weights: All respondents 
weight4b,Population weights: Fresh respondents 
xsflag,Sample variable 
L0_a,[My spouse or partner] Do each of the following types of people currently live with you in your household? 
L0_b,[My child or children who are under age 18] Do each of the following types of people currently live with you in your household? 
L0_c,[My adult child or children who are age 18 or older] Do each of the following type of people currently live with you in your household? 
L0_d,[My parents] Do each of the following types of people currently live with you in your household? 
L0_e,"[My extended family such as brothers, sisters or cousins'] Do each of the following types of people currently live with you in your household? "
L0_f,[Roommate(s) who are not related to me] Do each of the following types of people currently live with you in your household? 
L0_g,[Other individuals (Please specify)] Do each of the following types of people currently live with you in your household? 
L0A,Which of the following best describes the adult children (who are age 18 or older) who live with you? 
L1_a,[To save money] Are each of the following reasons why you live with these individuals? 
L1_b,[To provide financial assistance to those living with me] Are each of the following reasons why you live with these individuals? 
L1_c,"[To care for sick, disabled, or elderly family member or friend] Are each of the following reasons why you live with these individuals? "
L1_d,[To receive assistance with child care] Are each of the following reasons why you live with these individuals? 
L1_e,[Companionship / prefer living with others] Are each of the following reasons why you live with these individuals? 
L1_f,[Other (Please specify)] Are each of the following reasons why you live with these individuals? 
L2,Could you [and your spouse/and your partner] afford to live on your own in your current neighborhood if you had to? 
L3,Would you [and your spouse/and your partner] prefer to live on your own if you could afford to? 
B2,"Overall, which one of the following best describes how well you are managing financially these days? "
B3,"Compared to 12 months ago, would you say that you (and your family living with you) are better off, the same, or worse off financially? "
B6,"Think of your parents when they were your age. Would you say you (and your family living with you) are better, the same, or worse off financially than they were? "
B6A,"Thinking about your family when you were growing up (under age 17), would you say your family during that time was generally pretty well off financially, about average, poor, or did it vary? "
D1_a,[Employed for someone else] Do each of the following describe your employment situation in the past month? 
D1_b,[Self-employed] Do each of the following describe your employment situation in the past month?v 
D1_c,[Temporarily laid off] Do each of the following describe your employment situation in the past month? 
D1_d,"[Not employed, but looking for a job] Do each of the following describe your employment situation in the past month? "
D1_e,"[Not employed, and not looking for a job] Do each the following describe your employment situation in the past month? "
D1_f,[Homemaker] Do each of the following describe your employment situation in the past month? 
D1_g,[Student] Do each of the following describe your employment situation in the past month? 
D1_h,[Disabled and not working] Do each of the following describe your employment situation in the past month? 
D1_i,[Retired] Do each of  the following describe your employment situation in the past month? 
D2,"In the past month, which one of the following do you consider to best describe your employment situation? "
D3,"Think about the main job that you had in the past month. In this job, did you: "
D3A,"Still thinking about your main job, do you normally start and end work around the same time each day that you work does it vary from week-to-week? "
D3B,Approximately how far in advance does your employer usually tell you the hours that you will need to work on any given day? 
D3C_a,"[Paid sick leave] Still thinking about your main job, does your employer offer you each of the following benefits (even if you do not personally use the benefit)? "
D3C_b,"[Paid vacation/personal leave] Still thinking about your main job, does your  employer offer you each of the following benefits (even if you do not personally use the benefit)? "
D3C_c,"[Maternity or paternity leave] Still thinking about your main job, does your employer offer you each of the following benefits (even if you do not personally use the benefit)? "
D3C_d,"[Health insurance] Still thinking about your main job, does your employer offer you each of the following benefits (even if you do not personally use the benefit)? "
D3C_e,"[Disability insurance] Still thinking about your main job, does your employer offer you each of the following benefits  (even if you do not personally use the benefit)? "
D3C_f,"[Life insurance] Still thinking about your main job, does your employer offer you each of the following benefits (even if you do not personally use the benefit)? "
D3C_g,"[Retirement benefits] Still thinking about your main job, does your employer offer you each of the following benefits (even if you do not personally use the benefit)? "
D3C_h,"[Ability to work from home] Still thinking about your main job, does your employer offer you each of the following benefits (even if you do not personally use the benefit)?  "
D3D,"Still thinking about your main job, how does your employer normally pay you for work? "
D4_a,"[I had another full-time job] In addition to your main job, in the past month did you have any other paid jobs? "
D4_b,"[I had another part-time job] In addition to your main job, in the past month did you have any other paid jobs? "
D6_a,"[Asked for a raise or a promotion at work] In the past 12 months, have you done each of the following? "
D6_b,"[Received a raise or a promotion at work] In the past 12 months, have you done each of the following? "
D6_c,"[Applied for a new job] In the past 12 months, have you done each of the following? "
D6_d,"[Started a new job] In the past 12 months, have you done each of the following? "
D6_e,"[Voluntarily left a job] In the past 12 months, have you done each of the following? "
D6_f,"[Gotten laid-off or fired from a job] In the past 12 months, have you done each of the following? "
D7,"Thinking about the raise you received in the past 12 months, how did this raise compare to changes in your living expenses over the period? "
D8_a,[Child-care responsibilities] How much do each of the following impact your ability to work for pay or work as much as you like? 
D8_b,[Caretaking responsibilities for someone other than a child (such as a parent)] How much do each of the following impact your ability to work for pay or work as much as you like? 
D8_c,[Health problems of my own] How much do each of the following impact your ability to work for pay or work as much as you like? 
D8_d,[Difficulty arranging transportation to or from work] How much do each of the following impact your ability to work for pay or work as much as you like? 
D8_e,[Employer?s restrictions for how many hours I work] How much do each of the following impact your ability to work for pay or work as much as you like? 
D8_f,[Employer sets or schedules the times or shifts that I work] How much do each of the following impact your ability to work for pay or work as much as you like? 
D5,Which one of the following best describes your [spouse's/partner's] current employment status? 
D9A_a,"[Babysitting, child care services, dog walking, and/or house sitting] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9A_b,"[Disabled adult and/or elder care services] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9A_c,"[House cleaning, house painting, yard work, landscaping, and/or other property maintenance work) In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9A_d,"[Providing personal services to individuals, such as picking up their dry cleaning, helping people move, running errands, booking travel, etc.) In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9B_a,"[Completing online tasks through websites, such as Amazon Services, Mechanical Turk, Fiverr, Task Rabbit, or YouTube. Such tasks might include editing documents, reviewing resumes, writing songs, creating graphic desigins, etc.] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9B_b,"[Renting out property, such as your car, your place of residence, or other items you own, through websites, newspaper ads, flyers, etc.] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9B_c,"[Selling new/used goods, handcrafts, etc., on-line through eBay, Craigslist, or other websites] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9B_d,"[Other online paid activities (do not include taking GfK Surveys). Please specify.] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9C_a,"[Selling goods (such as food, handcrafts, etc.) or services at flea markets, swap meets, garage sales, mobile vans/trucls, stalls/kiosks, etc.] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9C_b,"[Selling used goods (such as clothes, wedding dresses, handcrafts, etc.) at consignment shops or thrift stores] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D9C_c,"[Any other paid activities that you have not yet mentioned (do not include taking Gfk surveys)] In the past month, have you been paid for each of the following occasional work actitvities or side jobs? "
D10_a,"[To earn money as a primary source of income] In the past month, what are the reasons why you have engaged in occasional   paid work activities or side jobs?  "
D10_b,"[To earn extra money on top of pay from a current job, retirement, pension, disability, or other regular source of income] In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D10_c,"[To earn extra money to help family members] In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D10_d,"[To maintain existing job-related skills] In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D10_e,"[To acquire new job-related skills] In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D10_f,"[To network/meet people] In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D10_g,"[Just for fun (as a hobby)] In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D10_h,"[Other (please specify)]  In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D10_Refused,"[Refused] In the past month, what are the reasons why you have engaged in occasional paid work activities or side jobs? "
D11,"In the past month, what is the main reason why you have engaged in occasional paid actitivites or side jobs? "
D12_A,"How much time do you usually spend per month on occasional paid work activities or side jobs, other than your primary job? "
D12_B,About how much of your monthly income do you [and your spouse/and your partner] get from paid work actitivites of side jobs? 
D13,"Six months from now, do you expect to devote more, the same, or less time to occasional paid work actitivites or side jobs other than your main job compared to today? "
D14,"To what extent have occasional paid work activities or side jobs helped you to offset any negative effects of unemployment, loss of working hours, loss of benefits, or frozen wages  in a formal job in the last year? "
D15,"In the past 12 months, to what extent has the money earned from occasional paid work acitivites or side jobs been a significant source of income for you? "
D16,"In the past 12 months, to what extent has the money earned from occasional paid work activities or side jobs been a regular/ significant source of income for you? "
D17_a,"[Apprenticeship or internship] In the past month, did you do each of the following types of unpaid work  for someone else? "
D17_b,"[Volunteer work] In the past month, did you do each of the following types of unpaid work for someone else? "
D17_c,"[Bartering (Work done in exchange for an item or service of similar value)] In the past month, did you do each of the following types of unpaid work for someone else? "
D17_d,"[Other (Please specify)] In the past month, did you do each of the following types of unpaid work for someone else? "
D17B_a,[To improve the local community] Which of the following are reasons that you did unpaid work for someone else in the past month? 
D17B_b,[To help others or give back to society] Which of the following are reasons that you did unpaid work for someone else in the past month? 
D17B_c,[To maintain existing job-related skills] Which of the following are reasons that you did unpaid work for someone else in the past month? 
D17B_d,[To acquire new job-related skills] Which of the following are reasons that you did unpaid work for someone else in the past month? 
D17B_e,[To network/meet people] Which of the following are reasons that you did unpaid work for someone else in the past month? 
D17B_f,[Just for fun (as a hobby)] Which of the following are reasons that you did unpaid work for someone else in the past month? 
D17B_g,[Other (Please specify)] Which of the following are reasons that you did unpaid work for someone else in the past month? 
GH1,Which one of the following best describes your housing arrangement where you currently live? 
GH2,In what year did you [buy/start renting/move into] your current home? 
R1_a,[It?s cheaper to rent than own a home] Please select all the reasons below for why you rent your home rather then own your home. 
R1_b,[Owning a home is a bigger financial risk] Please select all the reasons below for why you rent your home rather then own your home. 
R1_c,[It?s more convenient to rent (for example you can move easily)] Please select all the reasons below for why you rent your home rather then own your home. 
R1_d,[I plan on moving in the near future] Please select all the reasons below for why you rent your home rather then own your home. 
R1_e,[I can?t qualify for a mortgage to buy a home] Please select all the reasons below for why you rent your home rather then own your home. 
R1_f,[I can?t afford the down payment to buy a home] Please select all the reasons below for why you rent your home rather then own your home. 
R1_g,[I simply prefer to rent] Please select all the reasons below for why you rent your home rather then own your home. 
R1_h,[I'm currently looking to buy a home] Please select all the reasons below for why you rent your home rather then own your home. 
R1_i,[Other (Please specify)] Please select  all the reasons below for why you rent your home rather then own your home. 
R1_Refused,[Refused] Please select all the reasons below for why you rent your home rather then own your home. 
R4,Did you own your previous home that you moved from in [GH2 RESPONSE]? 
R5A,"An eviction is when your landlord forces you to move when you don?t want to. Were you, or a person you were staying with, evicted from the home you moved from in [GH2 response]? "
R5B_a,[Received an eviction notice] Did each of the following contribute to your moving from your previous home in [GH2 response]? 
R5B_b,"[Your landlord told you, or a person you were staying with, to leave] Did each of the following contribute to your moving from your previous home in [GH2 response]? "
R5B_c,"[You, or a person you were staying with, missed a rent payment and thought that if you didn't move you would be evicted] Did each of the following contribute to your moving from your previous home in [GH2 response]? "
R5B_d,[The city condemned the property and forced you to leave] Did each of the following contribute to your moving from your previous home in [GH2 response]? 
R5C_a,[Bank took possession of your home in foreclosure] Did each of the following contribute to your moving from your previous home in [GH2 response]? 
R5C_b,[Received a notice from the bank that they planned to foreclose] Did each of the following contribute to your moving from your previous home in [GH2 response]? 
R5C_c,"[Missed mortgage payments and thought that if you didn?t move, the bank would foreclose on your home] Did each of the following contribute to your moving from your previous home in [GH2 response]? "
R5C_d,[The city condemned the property and forced you to leave] Did each of the following contribute to your moving from your previous home in [GH2 response]? 
R5D_a,[Rent increased at previous home or apartment] Please select all of the reasons that you moved to your home in [GH2 response]? 
R5D_b,[Landlord would not fix things at previous home or apartment] Please select all of the reasons that you moved to your home in [GH2 response]? 
R5D_c,[To save money] Please select all of the reasons that you moved to your home in [GH2 response]? 
R5D_d,[Better quality or larger home] Please select all of the reasons that you moved to your home in [GH2 response]? 
R5D_e,[Closer to work or school] Please select all of the reasons that you moved to your home in [GH2 response]? 
R5D_f,[Better quality neighborhood or schools] Please select all of the reasons that you moved to your home in [GH2 response]?  
R5D_g,[Relocated to a new city] Please select all of the reasons that you moved to your home in [GH2 response]? 
R5D_h,"[Change in family status (e.g. marriage, divorce, children)] Please select all of the reasons that you moved to your home in [GH2 response]? "
R5D_i,[Other (Please Specify)] Please select all of the reasons that you moved to your home in [GH2 response]? 
R5D_Refused,[Refused] Please select all of the reasons that you moved to your home in [GH2 response]? 
R6_a,"[Documentation of employment or income] When you rented your current home, were each of the following part of the rental application process? "
R6_b,"[Payment of a security deposit] When you rented your current home, were each of the following part of the rental application process? "
R6_c,"[Payment of an application fee] When you rented your current home, were each of the following part of the rental application process? "
R6_d,"[Request for references] When you rented your current home, were each of the following part of the rental application process? "
R6_e,"[Request to run a credit check] When you rented your current home, were each of the following part of the rental application process? "
R6_f,"[Request to run a criminal background check] When you rented your current home, were each of the following part of the  rental application process? "
R7,"In the past 12 months, have you experienced any problems with your house or apartment that you felt need to be fixed, such as a leak or a broken appliance? "
R8,Did you contact your landlord about the problem with your house or apartment that needed to be fixed? 
R8A,"After you contacted your landlord about the problem with your house or apartment, how much difficult did you have getting them to fix the problem? "
R8B,What is the main reason that you did you not contact your landlord about the problem with your house or apartment that needed to be fixed? 
R9,Do you [and/or your spouse / and/or your partner] expect to purchase a home in the next 5 years? 
R10_a,[Will have saved enough for a down-payment] Are each of the following reasons that you expect to buy a home in the next 5 years?  
R10_b,[Will be more certain about job] Are each of the following reasons that you expect to buy a home in the next 5 years? 
R10_c,[Will be more certain about location or where to live] Are each of the following reasons that you expect to buy a home in the next 5 years? 
R10_d,[Will have a higher income] Are each of the following reasons that you expect to buy a home in the next 5 years? 
R10_e,"[Change in family circumstances (e.g. marriage, divorce, children)'] Are each of the following reasons that you expect to buy a home in the next 5 years? "
R10_f,[Other (Please specify)] Are each of the following reasons that you expect to buy a home in the next 5 years? 
R3,About how much do you [and/or your spouse /and/or your partner] pay for rent each month? 
H0_a,[It?s cheaper to own than rent a home] Please select all the reasons below for why your own home rather than rent. 
H0_b,[Owning a home is a good financial investment] Please select all the reasons below for why your own home rather than rent. 
H0_c,[Certainty about monthly payments] Please select all the reasons below for why your own home rather than rent. 
H0_d,[Building equity with payments] Please select all the reasons below for why your own home rather than rent. 
H0_e,[Don?t like to move] Please select all the reasons below for why your own home rather than rent. 
H0_f,[Less rules / able to customize house] Please select all the reasons below for why your own home rather than rent. 
H0_g,[Simply prefer to own] Please select all the reasons below for why your own home rather than rent. 
H0_h,[Other (Please specify)] Please select all the reasons below for why your own home rather than rent. 
H0_Refused,[Refused] Please select all the reasons below for why your own home rather than rent. 
H6,Prior to purchasing your current home did you [or your spouse/or your partner] ever own another house? 
H7_a,"[Proceeds from sale of previous home] In addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
H7_b,"[Personal savings] In addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
H7_c,"[Loan or gift from family/friends] In addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
H7_d,"[Second mortgage] In addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
H7_e,"[Financial assistance from a government program or non-profit organization] In  addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
H7_f,"[None] In addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
H7_g,"[Other (Please specify)] In addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
H7_Refused,"[Refused] In addition to your mortgage, please select all the sources below that you used to fund the home purchase when you bought your current home. "
M2,"In the past 12 months, have you [or your spouse/or your partner] missed two or more payment on your mortgage? "
M4,About how much is your total monthly mortgage payment (i.e. the amount you send to the bank)? 
BK1,"Do you [and/or your spouse / and/or your partner] currently have a checking, savings, or money market account? "
BK2_a,"[used a money order] In the past 12  months, have you [and/or your spouse / and/or your partner] "
BK2_b,"[used a check-cashing service] In the past 12 months, have you [and/or your spouse / and/or your partner] "
BK2_c,"[used a tax refund anticipation loan] In the past 12 months, have you [and/or your spouse /and/or your partner] "
BK2_d,"[used a pawn shop loan, a payday loan, an auto title loan, or a paycheck advance/ deposit advance] In the past 12 months, have you [and/or your spouse / and/or your partner] "
BK2_e,"[sent money to a relative or friend (not a business) living outside of the U.S. using a service other than a bank] In the past 12 months, have you [and/or your spouse / and/or your partner] "
BK5,Suppose that you were making a $10 purchase at a local store. How would you most commonly expect to pay for this purchase? 
A6,"If you were to apply for a credit card today, how confident are you that your application would be approved? "
A0,"In the last 12 months, have you [or your spouse/or your partner] applied for any credit? "
A0A_a,[Mortgage to buy a new home] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_b,[Refinance of a home mortgage] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_c,[Home equity loan or line of credit] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_d,[Credit card] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_e,[Car/auto loan] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_f,[Student loan] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_g,[Personal general-purpose loan from a bank] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_h,[Personal loan from friends or family] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_i,[Other (Please specify)] Please select all of the types of credit below that you [or you spouse or partner] applied for in the past 12 months 
A0A_Refused,[Refused] Please select all of the types of credit below that you [or you spouse or partner] applied  for in the past 12 months 
A0B,Was there a time in the past 12 months that you [or your spouse/or your partner] desired credit but chose not to submit a credit application? 
A1_a,"[You [or your spouse/or your partner] were turned down for credit] In the past 12 months, please tell us if each of the following has or has not happened to you [or your spouse or partner] "
A1_b,"[You [or your spouse/or your partner] were approved for credit, but were not given as much credit as you applied for] In the past 12 months, please tell us if each of the following has or has not happened to you [or your spouse or partner] "
A1_c,"[You [or your spouse/or your partner] put off applying for credit because you thought you might be turned down] In the past 12 months, please tell us if each of the following has or has not happened to you [or your spouse or partner] "
A2,You indicated that you [or your spouse/or your partner] desired credit in the past 12 months but did not submit a credit application. Was this because you thought that you might be turned down or denied credit? 
A3_a,"[Mortgage to buy a new home] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_b,"[Refinance of a home mortgage] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_c,"[Home equity loan or line of credit] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_d,"[Credit card] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_e,"[Car/auto loan] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_f,"[Student loan] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_g,"[Personal general-purpose loan from a bank] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_h,"[Personal loan from friends or family] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_i,"[Other] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
A3_Refused,"[Refused] In the past 12 months, which forms of credit that you applied for were you denied or offered less credit than requested "
C1,"If you had to guess, do you think your current credit score (such as a FICO score) is "
C2A,Do you have at least one credit card? 
C3,Do you currently have any outstanding unpaid credit card debt? 
C3A,"Do you [and your spouse/and your partner] currently have more, less, or about the same amount of credit card deby than you had 12 months ago? "
C3B,"12 months ago, did you have any credit card debt that you have since paid off? "
C4A,"In the past 12 months, how frequently have you carried an unpaid balance on one or more of your credit cards? "
C4B,"In the past 12 months, how frequently have you paid only the minimum payment on one or more of your credit cards? "
ED0,What is the highest level of school you have completed or the highest degree you have received? 
ED0A,"Are you currently enrolled in any school, college, or other post-high school education program that will to a degree? "
ED0B,What type of degree program are you currently enrolled in? 
ED0C,"In the past 12 months, have you taken any classes towards a degree or completed any educational program? "
ED1,Which one of the following broad categories best describes your [current/most recent] education program? 
ED5,"Overall, how would you say the lifetime financial benefits of your [current/most recent] educational program compare to its financial costs? "
ED6_a,"[Chosen a different field of study] Knowing what you know now about the benefits and costs of your education, if you could go back and make your education decisions again would have done each of these things: "
ED6_b,"[Attended a different school] Knowing what you know now about the benefits and costs of your education, if you could go back and make your education decisions again would have done each of these things: "
ED6_c,"[Completed less education] Knowing what you know now about the benefits and costs of your education,if you could go back and make your education decisions again would have done each of these things: "
ED6_d,"[Completed more education] Knowing what you know now about the benefits and costs of your education, if you could go back and make your education decisions again would have done each of these things: "
ED6_e,"[Chosen not to attend college] Knowing what you know now about the benefits and costs of your education, if you could go back and make your education decisions again would have done each of these things: "
ED7A,In what state is the school that you received your located? 
ED10,"Overall, how would you say the lifetime financial benefits of your [DOV_ED] program compare to its financial costs? "
ED11_a,"[Chosen a different field of study] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED11_b,"[Attended a different school] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED11_c,"[Completed less education] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
ED11_d,"[Completed more education] Knowing what you know now about the benefits and costs of your education, if you could go back and make decisions regarding your [DOV_ED] again, would you have done each of these things: "
